part_name,part_number,price_usd,product_url,compatible_models,category
Samsung DB92-7055 Air Conditioner Spare,DB92-7055,284.11,https://samsungparts.com/products/db92-7055,/ISPSSG/64; ZLR5BI32F9; 65349TV2O6,Air Conditioner
Samsung DB92-4495 Air Conditioner Spare,DB92-4495,307.37,https://samsungparts.com/products/db92-4495,3S8OUU-4V8; IM4PY-E/YY; -HP5E6GKNH,Air Conditioner
Samsung DB92-5928 Air Conditioner Spare,DB92-5928,130.16,https://samsungparts.com/products/db92-5928,Y/AIJSCMMB; H8KIFD29WR; J13F-L2CCV,Air Conditioner
Samsung DB92-5011 Air Conditioner Spare,DB92-5011,286.67,https://samsungparts.com/products/db92-5011,VXL74KMAK6; 7IKVAT3CL1; KY0NPM7LIX,Air Conditioner
Samsung DB92-3876 Air Conditioner Spare,DB92-3876,144.2,https://samsungparts.com/products/db92-3876,QXPFEAB-K7; ZC4OVAJ5CD; N702MKFJS-,Air Conditioner
Samsung DB92-7237 Air Conditioner Spare,DB92-7237,113.99,https://samsungparts.com/products/db92-7237,1Y7GW/DZIL; 8QQFQP6W9U; N8113J4ROM,Air Conditioner
Samsung DB92-7309 Air Conditioner Spare,DB92-7309,107.25,https://samsungparts.com/products/db92-7309,IPBSRVQD8S; 2PRNDUEQTY; K9KM3WNLVT,Air Conditioner
Samsung DB92-4112 Air Conditioner Spare,DB92-4112,61.76,https://samsungparts.com/products/db92-4112,Y2XCUCG9WL; BCBCM6F65O; //RWGR7ZVM,Air Conditioner
Samsung DB92-3530 Air Conditioner Spare,DB92-3530,161.84,https://samsungparts.com/products/db92-3530,N-P7BUH5-Y; KPFW-TA2U8; M96EPRMQVZ,Air Conditioner
Samsung DB92-8336 Air Conditioner Spare,DB92-8336,272.68,https://samsungparts.com/products/db92-8336,0NBALY7LPC; CJ5TQ2S2/F; 27-FTVDGX-,Air Conditioner
Samsung DB92-1480 Air Conditioner Spare,DB92-1480,111.88,https://samsungparts.com/products/db92-1480,EE4V7JGNW7; SF91KRL7WD; /LP7C6EBT3,Air Conditioner
Samsung DB92-3800 Air Conditioner Spare,DB92-3800,172.86,https://samsungparts.com/products/db92-3800,F397KHCC6P; E4MZTR3E-8; 345X8UP5DO,Air Conditioner
Samsung DB92-5635 Air Conditioner Spare,DB92-5635,66.36,https://samsungparts.com/products/db92-5635,SQZ2R5-AHS; GX0MEXE0AO; O1IW2YZ-3S,Air Conditioner
Samsung DB92-6839 Air Conditioner Spare,DB92-6839,215.67,https://samsungparts.com/products/db92-6839,7II/7NCCCW; HKAQL25CSP; I8OP7A870Q,Air Conditioner
Samsung DB92-3959 Air Conditioner Spare,DB92-3959,48.2,https://samsungparts.com/products/db92-3959,0X04FWKXQ2; AH2MABRKUJ; DTUMII5KS0,Air Conditioner
Samsung DB92-3234 Air Conditioner Spare,DB92-3234,313.3,https://samsungparts.com/products/db92-3234,UAOWDSFY/U; OT7H8RS6QH; JMQFDXT1VH,Air Conditioner
Samsung DB92-7115 Air Conditioner Spare,DB92-7115,186.48,https://samsungparts.com/products/db92-7115,QQGJ7KHGNZ; FW4SF6SE8O; BO4H44D14X,Air Conditioner
Samsung DB92-2901 Air Conditioner Spare,DB92-2901,297.38,https://samsungparts.com/products/db92-2901,P/DN6COH9I; F1I6FG8P1-; 2N356B616K,Air Conditioner
Samsung DB92-5349 Air Conditioner Spare,DB92-5349,173.45,https://samsungparts.com/products/db92-5349,C1DE5VDYIF; YTQ4U-6RMQ; NMV-NUB0ZN,Air Conditioner
Samsung DB92-4609 Air Conditioner Spare,DB92-4609,284.29,https://samsungparts.com/products/db92-4609,AVATMMHX6P; KJ3FI6IEPE; VHXYFS51HF,Air Conditioner
Samsung DB92-8692 Air Conditioner Spare,DB92-8692,26.45,https://samsungparts.com/products/db92-8692,1MW3M59L1N; TS-QKNMQMB; XJPVKG-4TB,Air Conditioner
Samsung DB92-7546 Air Conditioner Spare,DB92-7546,147.67,https://samsungparts.com/products/db92-7546,X3/BX1QZ2/; UUNWEN/1UC; R3I0H65589,Air Conditioner
Samsung DB92-5809 Air Conditioner Spare,DB92-5809,259.71,https://samsungparts.com/products/db92-5809,KVQHVYGGS5; GW-N3XZY08; OC-BV2/DWG,Air Conditioner
Samsung DB92-7892 Air Conditioner Spare,DB92-7892,135.61,https://samsungparts.com/products/db92-7892,AVHJI6J2RA; LM59M7ZFHP; QWI5USKZHI,Air Conditioner
Samsung DB92-2490 Air Conditioner Spare,DB92-2490,213.49,https://samsungparts.com/products/db92-2490,RP33PK8VJZ; B3TITUD1OU; KR67Y6M3C/,Air Conditioner
Samsung DB61-1126 Refrigerator Spare,DB61-1126,346.13,https://samsungparts.com/products/db61-1126,BT59D6BS7O; E3H6TTJXXH; 5P8CFE80E/,Refrigerator
Samsung DB61-5895 Refrigerator Spare,DB61-5895,264.25,https://samsungparts.com/products/db61-5895,3QOCF/8XTU; Q1B6OC/EK5; X/8WS833QZ,Refrigerator
Samsung DB61-4694 Refrigerator Spare,DB61-4694,169.01,https://samsungparts.com/products/db61-4694,5XS3IGD46G; UV9NTRKWOO; WE262NOKHJ,Refrigerator
Samsung DB61-9396 Refrigerator Spare,DB61-9396,96.22,https://samsungparts.com/products/db61-9396,FCMXLYB3I4; 1QZNIY-EQC; 7DBLR3E7TK,Refrigerator
Samsung DB61-1756 Refrigerator Spare,DB61-1756,341.43,https://samsungparts.com/products/db61-1756,-TIM9IVFV9; 6B10MS835Y; N3LIYVAHCE,Refrigerator
